season,Cabrillo I_1,Cabrillo I_2,Cabrillo I_3,Cabrillo I_4,Cabrillo I_5,Cabrillo I_6,Cabrillo II_1,Cabrillo II_2,Cabrillo II_3,Cabrillo II_4,Cabrillo II_5,Cabrillo II_6,Cabrillo II_7,Cabrillo II_8,Cabrillo II_9,Cabrillo II_10,Cabrillo III_1,Cabrillo III_2,Cabrillo III_3,Cabrillo III_4,Cabrillo III_5,Cabrillo III_6
FA16,16.23,12.41,7.64,21.96,9.23,8.28,7,2.86,5.73,1.91,0,4.77,4.77,13.69,24.83,14.01,26.42,0,0.95,0.95,12.73,1.91
SP16,11.78,7.96,4.77,16.87,14.01,11.46,7,5.09,13.05,3.18,0,5.41,3.5,11.14,12.41,9.23,16.87,0,1.27,0,10.19,4.77
FA17,20.37,2.23,5.73,22.6,29.28,13.69,14.32,7.96,6.68,2.55,0,6.68,5.41,14.96,18.46,11.46,39.15,0,1.27,0,13.05,3.82
SP17,15.28,11.46,8.91,22.28,14.32,13.05,7.96,5.41,7.96,1.91,0,7.64,5.09,13.69,22.92,12.1,30.56,0,1.59,0,11.14,2.23
FA18,12.41,16.23,2.55,26.42,26.1,9.23,13.37,13.69,6.05,3.18,0,6.37,5.73,13.37,17.51,16.23,33.74,0,0.95,0,14.96,5.09
SP18,15.28,16.87,5.09,20.69,25.15,10.5,13.37,5.09,5.73,3.18,0,7,4.14,13.69,17.51,11.14,32.47,0,0.95,0,14.32,2.86
FA19,17.51,14.96,4.77,18.14,30.24,16.87,14.64,6.05,5.41,2.86,0,5.09,2.55,13.69,15.28,15.92,28.33,0,1.59,0.32,14.96,2.86
SP19,18.46,17.51,3.5,17.83,20.37,14.32,13.69,8.59,6.05,2.86,0,5.09,3.5,14.96,17.83,14.64,30.88,0,0.95,0,17.51,4.77
FA20,12.41,14.32,4.77,21.01,23.87,19.74,13.05,2.86,4.46,3.18,NA,NA,6.05,14.96,16.55,15.6,26.1,NA,0.95,NA,9.87,4.46
FA21,16.55,17.19,6.05,19.74,25.15,18.46,14.96,7.64,4.46,4.46,0,NA,7.96,14.64,20.05,18.46,26.74,0,1.59,0,10.5,1.91
SP21,9.87,16.55,4.14,10.19,10.19,14.64,13.69,5.09,3.5,3.18,NA,5.73,7,15.28,16.23,12.73,0.64,0,23.55,0,8.91,1.27
