site_code,plot_code,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
CAB3,POL-02,NA,NA,NA,NA,NA,Photo,Photo,Photo,Photo,Photo,Photo,Photo,Photo,Photo,Photo,Photo,Photo,Photo,Photo,Photo,Photo,Photo,Photo,Photo,Field,Field,Field,NA,Field,Field
CAB3,POL-03,NA,NA,NA,NA,NA,Photo,Photo,Photo,Photo,Photo,Photo,Photo,Photo,Photo,Photo,Photo,Photo,Photo,Photo,Photo,Photo,Photo,Photo,Photo,Field,Field,Field,NA,Field,Field
CAB3,POL-04,NA,NA,NA,NA,NA,NA,Photo,Photo,Photo,Photo,Photo,Photo,Photo,Photo,Photo,Photo,Photo,Photo,Photo,Photo,Photo,Photo,Photo,Photo,Field,Field,Field,NA,Field,Field
CAB3,POL-05,NA,NA,NA,NA,NA,Photo,Photo,Photo,Photo,Photo,Photo,Photo,Photo,Photo,Photo,Photo,Photo,Photo,Photo,Photo,Photo,Photo,Photo,Photo,Field,Field,Field,NA,Field,Field
CAB3,POL-06,NA,NA,NA,NA,NA,Photo,Photo,Photo,Photo,Photo,Photo,Photo,Photo,Photo,Photo,Photo,Photo,Photo,Photo,Photo,Photo,Photo,Photo,Photo,Field,Field,Field,NA,Field,Field
CAB3,SIL-01,Photo,Photo,Photo,Photo,Photo,Photo,Photo,Photo,Photo,Photo,Photo,Photo,Photo,Photo,Photo,Photo,Photo,Photo,Photo,Photo,Photo,Photo,Photo,Photo,Field,Field,Field,NA,Field,Field
CAB3,SIL-02,Photo,Photo,Photo,Photo,Photo,Photo,Photo,Photo,Photo,Photo,Photo,Photo,Photo,Photo,Photo,Photo,Photo,Photo,Photo,Photo,Photo,Photo,Photo,Photo,Field,Field,Field,NA,Field,Field
CAB3,SIL-03,Photo,Photo,Photo,Photo,Photo,Photo,Photo,Photo,Photo,Photo,Photo,Photo,Photo,Photo,Photo,Photo,Photo,Photo,Photo,Photo,Photo,Photo,Photo,Photo,NA,Field,Field,NA,Field,Field
CAB3,SIL-04,Photo,Photo,Photo,Photo,Photo,Photo,Photo,Photo,Photo,Photo,Photo,Photo,Photo,Photo,Photo,Photo,Photo,Photo,Photo,Photo,Photo,Photo,Photo,Photo,Field,Field,Field,NA,Field,Field
CAB3,SIL-05,Photo,Photo,Photo,Photo,Photo,Photo,Photo,Photo,Photo,Photo,Photo,Photo,Photo,Photo,Photo,Photo,Photo,Photo,Photo,Photo,Photo,Photo,Photo,Photo,Field,Field,Field,NA,Field,Field
